word,num_videos,num_signers,signers,videos
معلم,12,4,"S01, S02, S05, S07","0034_S01_T01.mp4, 0034_S01_T02.mp4, 0034_S02_T01.mp4, 0034_S02_T02.mp4, 0034_S05_T01.mp4, 0034_S05_T02.mp4, 0034_S05_T03.mp4, 0034_S05_T04.mp4, 0034_S05_T05.mp4, 0034_S05_T06.mp4, 0034_S05_T07.mp4, 0034_S07_T01.mp4"
سيئ,9,1,S05,"0344_S05_T01.mp4, 0344_S05_T02.mp4, 0344_S05_T03.mp4, 0344_S05_T04.mp4, 0344_S05_T05.mp4, 0344_S05_T06.mp4, 0344_S05_T07.mp4, 0344_S05_T08.mp4, 0344_S05_T09.mp4"
طالب,8,3,"S01, S02, S05","0035_S01_T01.mp4, 0035_S01_T02.mp4, 0035_S02_T01.mp4, 0035_S02_T02.mp4, 0035_S05_T01.mp4, 0035_S05_T02.mp4, 0035_S05_T03.mp4, 0035_S05_T04.mp4"
مدرسة,7,4,"S01, S02, S03, S07","0031_S01_T01.mp4, 0031_S01_T02.mp4, 0031_S01_T03.mp4, 0031_S02_T01.mp4, 0031_S02_T02.mp4, 0031_S03_T01.mp4, 0031_S07_T01.mp4"
ممكن,7,2,"S05, S09","0347_S05_T01.mp4, 0347_S05_T02.mp4, 0347_S05_T03.mp4, 0347_S05_T04.mp4, 0347_S05_T05.mp4, 0347_S05_T06.mp4, 0347_S09_T01.mp4"
كتاب,7,4,"S01, S02, S03, S06","0037_S01_T01.mp4, 0037_S01_T02.mp4, 0037_S02_T01.mp4, 0037_S02_T02.mp4, 0037_S03_T01.mp4, 0037_S03_T02.mp4, 0037_S06_T01.mp4"
جيد,7,1,S05,"0343_S05_T01.mp4, 0343_S05_T02.mp4, 0343_S05_T03.mp4, 0343_S05_T04.mp4, 0343_S05_T05.mp4, 0343_S05_T06.mp4, 0343_S05_T07.mp4"
مساعدة,6,2,"S04, S05","0217_S04_T01.mp4, 0217_S04_T02.mp4, 0217_S05_T01.mp4, 0217_S05_T02.mp4, 0217_S05_T03.mp4, 0217_S05_T04.mp4"
دفتر,6,4,"S01, S02, S03, S06","0038_S01_T01.mp4, 0038_S01_T02.mp4, 0038_S02_T01.mp4, 0038_S02_T02.mp4, 0038_S03_T01.mp4, 0038_S06_T01.mp4"
سؤال,6,4,"S01, S02, S03, S06","0050_S01_T01.mp4, 0050_S01_T02.mp4, 0050_S02_T01.mp4, 0050_S02_T02.mp4, 0050_S03_T01.mp4, 0050_S06_T01.mp4"
مستشفى,6,4,"S01, S02, S03, S07","0001_S01_T01.mp4, 0001_S01_T02.mp4, 0001_S02_T01.mp4, 0001_S02_T02.mp4, 0001_S03_T01.mp4, 0001_S07_T01.mp4"
السبورة,6,4,"S01, S02, S03, S06","0040_S01_T01.mp4, 0040_S01_T02.mp4, 0040_S02_T01.mp4, 0040_S02_T02.mp4, 0040_S03_T01.mp4, 0040_S06_T01.mp4"
مركز,6,2,"S05, S07","0345_S05_T01.mp4, 0345_S05_T02.mp4, 0345_S05_T03.mp4, 0345_S05_T04.mp4, 0345_S05_T05.mp4, 0345_S07_T01.mp4"
جامعة,6,4,"S01, S02, S03, S07","0032_S01_T01.mp4, 0032_S01_T02.mp4, 0032_S02_T01.mp4, 0032_S02_T02.mp4, 0032_S03_T01.mp4, 0032_S07_T01.mp4"
مكتبة,6,4,"S01, S02, S03, S06","0056_S01_T01.mp4, 0056_S01_T02.mp4, 0056_S02_T01.mp4, 0056_S02_T02.mp4, 0056_S03_T01.mp4, 0056_S06_T01.mp4"
تعبان,6,2,"S01, S02","0014_S01_T01.mp4, 0014_S01_T02.mp4, 0014_S02_T01.mp4, 0014_S02_T02.mp4, 0014_S02_T03.mp4, 0014_S02_T04.mp4"
ألم,5,3,"S01, S02, S03","0008_S01_T01.mp4, 0008_S01_T02.mp4, 0008_S02_T01.mp4, 0008_S02_T02.mp4, 0008_S03_T03.mp4"
حمى,5,3,"S01, S02, S03","0009_S01_T01.mp4, 0009_S01_T02.mp4, 0009_S02_T01.mp4, 0009_S02_T02.mp4, 0009_S03_T01.mp4"
صيدلية,5,3,"S01, S02, S03","0003_S01_T01.mp4, 0003_S01_T02.mp4, 0003_S02_T01.mp4, 0003_S02_T02.mp4, 0003_S03_T01.mp4"
جواب,5,3,"S01, S02, S06","0051_S01_T01.mp4, 0051_S01_T02.mp4, 0051_S02_T01.mp4, 0051_S02_T02.mp4, 0051_S06_T01.mp4"
زكام,5,3,"S01, S02, S03","0011_S01_T01.mp4, 0011_S01_T02.mp4, 0011_S02_T01.mp4, 0011_S02_T02.mp4, 0011_S03_T01.mp4"
تعلم,5,1,S05,"0289_S05_T01.mp4, 0289_S05_T02.mp4, 0289_S05_T03.mp4, 0289_S05_T04.mp4, 0289_S05_T05.mp4"
مريض,5,3,"S01, S02, S03","0006_S01_T01.mp4, 0006_S01_T02.mp4, 0006_S02_T01.mp4, 0006_S02_T02.mp4, 0006_S03_T01.mp4"
يقرأ,5,3,"S01, S02, S07","0045_S01_T01.mp4, 0045_S01_T02.mp4, 0045_S02_T01.mp4, 0045_S02_T02.mp4, 0045_S07_T01.mp4"
واجب,5,3,"S01, S02, S06","0047_S01_T01.mp4, 0047_S01_T02.mp4, 0047_S02_T01.mp4, 0047_S02_T02.mp4, 0047_S06_T01.mp4"
يكتب,5,3,"S01, S02, S07","0046_S01_T01.mp4, 0046_S01_T02.mp4, 0046_S02_T01.mp4, 0046_S02_T02.mp4, 0046_S07_T01.mp4"
خذ دواء,5,3,"S01, S02, S03","0029_S01_T01.mp4, 0029_S01_T02.mp4, 0029_S02_T01.mp4, 0029_S02_T02.mp4, 0029_S03_T01.mp4"
